osm_id_1,osm_id_2,score
237016903,9812706285,0.0
499993801,112513247,0.0
557779543,69323571,0.0
418823736,299856749,0.0
9795244,9235196671,0.0
166706010,10983867478,0.0
734956527,14517899,1.0
43029974,29494632,0.0
166706010,125147364,0.0
51676862,2460530881,0.0
556364624,734956527,0.0
10825181,2301088436,0.0
2426731321,8891086186,0.0
24895171,579971438,0.0
3205367,2301088436,0.0
23594307,527880834,0.0
768139533,259022256,0.0
51679253,40885478,0.0
42316314,59075540,0.0
2749545381,223530229,0.0
343906867,2269292,0.0
161773745,2278960580,1.0
342950166,51679253,0.0
373272472,223161029,0.0
15452009,221492099,0.0
77602813,237016903,0.0
342950166,30336158,0.0
221552585,224082205,0.0
7761714495,69315539,0.0
51676862,4728979210,0.0
2749674147,12160592173,0.0
2301088436,7633165,0.0
152266832,221492099,0.0
11314101288,831340661,0.0
412821,41877347,0.0
606939921,137323018,0.0
312683469,11314101288,0.0
2403497008,1434128515,0.0
2301088436,6668800,0.0
373272472,27561299,0.0
2141596,24895171,0.0
24895171,241142172,0.0
282460231,606939921,0.0
211751830,500004622,0.0
412821,152266832,0.0
500004622,27561299,0.0
42108886,191109552,0.0
27561299,33094226,0.0
2269292,161305571,0.0
100878076,888374936,0.0
279294217,29494632,0.0
3966735015,4244216790,0.0
418823736,1434128515,0.0
362253228,2460530881,0.0
12160592173,191109552,0.0
42108886,161305571,0.0
559993374,200789472,0.0
24895171,97943389,0.0
112588888,831340674,0.0
30336158,164433883,0.0
4244216790,16134881,0.0
25188564,152204306,0.0
112588888,9556683081,0.0
191109552,619865887,0.0
342950166,12160592173,0.0
1434128515,692244449,0.0
1297402270,121290937,0.0
12009092577,831340674,0.0
41964731,42108886,0.0
9235196671,43029974,0.0
241142172,655228960,0.0
29494632,137323018,0.0
356953025,10983867478,0.0
77602813,299856749,0.0
41877347,9795244,0.0
3686635068,9812706285,0.0
282460231,10727394,0.0
69315539,831340674,0.0
5942592985,2749674147,0.0
499993801,102329273,0.0
3205367,41964731,0.0
2301088436,58149407,0.0
386054113,412821,0.0
2301088436,239127026,0.5
361227677,14119655,0.0
25906386,2269292,0.0
2269292,888374936,0.0
161305571,2403497008,0.0
164433883,373272472,0.0
2301088436,831340674,0.0
134442351,764655793,0.0
2301088436,768139533,0.0
14517899,165353429,0.0
2301088436,3173990,0.0
9088101968,30336158,0.0
527880834,9235196671,0.0
236276410,40885478,1.0
121290937,43029974,0.0
3686635068,164433883,0.0
9812706285,24895171,0.0
831340661,6668800,0.0
15452009,12009092577,0.0
134442351,164433883,0.0
29494632,97943389,0.0
983124134,40885478,0.5
7633165,223530229,0.0
97550753,100878076,0.0
59075540,14517899,1.0
9556683081,167238823,0.0
343906867,25906386,0.0
241142172,15452009,0.0
3173990,4728979210,0.0
164433883,99343072,0.0
223161029,3173990,0.0
161773745,165353429,0.0
300520844,2755811424,0.0
831340661,557779543,0.0
768139533,692244449,0.0
2749545381,3173990,0.0
692244449,30336158,0.0
69323571,99343072,0.0
457032496,12160592173,0.0
161773745,321223196,0.0
161305571,102329273,0.0
9556683081,221492099,0.0
137323018,373272472,0.0
983124134,300520844,0.0
121290937,41877347,0.0
7633165,167238823,0.0
51679253,2301088436,0.0
551646739,152204306,0.0
9556683081,4728979210,0.0
100878076,235586193,0.0
831340674,412821,0.0
223161029,9235196671,0.0
42316314,557788693,0.0
10983867478,42316314,0.0
842133008,4702284,0.0
69323571,10983867478,0.0
2755811424,223161029,0.0
764655793,888374936,0.0
299856749,30336158,0.0
152266832,527880834,1.0
6060186,342950166,0.0
8441264653,842133008,0.0
112513247,167238823,1.0
150551160,343906867,0.0
